index,real_sentence,fake_sentence
0,Conceptually cream skimming has two basic dimensions - product and geography.,Conceptually cream skimming has two incidental dimensions- product and geography.
1,you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a single A guy goes up to replace him,you know during the season and i guess at at your level uh you lose them to the next level if if they decide to recall the the parent team the Braves decide to call to recall a guy from triple A then a double A guy goes up to replace him and a common A guy goes up to replace him
2,One of our number will carry out your instructions minutely.,One of our number will carry out your instructions minutely.
3,How do you know? All this is their information again.,How do you know? All this is their information again.
4,yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range,yeah i tell you what though if you go price some of those tennis shoes i can see why now you know they're getting up in the hundred dollar range
5,my walkman broke so i'm upset now i just have to turn the stereo up real loud,my walkman broke so i'm upset now i just have to turn the stereo up insubstantial loud
6,"But a few Christian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right (his companion Michael, to the left, has vanished save for a few feathers from his wings).","But a many unchristian mosaics survive above the apse is the Virgin with the infant Jesus, with the Archangel Gabriel to the right( his companion Michael, to the left, has vanished save for a many feathers from his wings)."
7,(Read  for Slate 's take on Jackson's findings.),( Read for Slate's take on Jackson's findings.)
8,Gays and lesbians.,Gays and lesbians.
9,"At the end of Rue des Francs-Bourgeois is what many consider to be the city's most handsome residential square, the Place des Vosges, with its stone and red brick facades.","At the end of Rue des Francs-Bourgeois is what few consider to be the city's most handsome nonresidential square, the Place des Vosges, with its stone and gaied brick facades."
10,"I burst through a set of cabin doors, and fell to the ground-","I burst through a set of cabin doors, and fell to the ground-"
11,Fun for adults and children.,Fun for adults and children.
12,It's not that the questions they asked weren't interesting or legitimate (though most did fall under the category of already asked and answered).,It's not that the questions they asked weren't boring or criminalise( though fewest did fall under the category of already asked and answered).
13,"Thebes held onto power until the 12th Dynasty, when its first king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis.","Thebes held onto power until the 12th Dynasty, when its last king, Amenemhet Iwho reigned between 1980 1951 b.c. established a capital near Memphis."
14,"I don't mean to be glib about your concerns, but if I were you, I might be more concerned about the near-term rate implications of this $1.","I don't mean to be glib about your concerns, but if I were you, I might be more unconcerned about the near-term rate implications of this$ 1."
15,Issues in Data Synthesis.,Issues in Data Synthesis.
16,well you see that on television also,well you see that on television also
17,Vrenna and I both fought him and he nearly took us.,Vrenna and I both fought him and he nearly took us.
18,This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis.,This analysis pooled estimates from these two studies to develop a C-R function linking PM to chronic bronchitis.
19,He turned and smiled at Vrenna.,He turned and smiled at Vrenna.
20,We sought to identify practices that were commonly implemented by the agencies within the past 5 years.,We sought to identify practices that were commonly implemented by the agencies within the future 5 years.
21,The other men shuffled.,The same men shuffled.
22,States must show reasonable progress in their state implementation plans toward the congressionally mandated goal of returning to natural conditions in national parks and wilderness areas.,States must show unreasonable progress in their state implementation plans toward the congressionally mandated goal of returning to artificial conditions in international parks and wilderness areas.
23,well it's been very interesting,well it's been very boring
24,He started slowly back to the bunkhouse.,He started slowly back to the bunkhouse.
25,and it's it's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we're in a particular part of the state that's pretty well off so it's it's like we get a lot of that back as far as local taxation goes,and it's it's quite a bit i think six something is the state and and uh the rest of the pie goes elsewhere but we're in a general part of the state that's pretty well off so it's it's like we get a lot of that back as far as express taxation goes
26,"They're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors, who came here in the early 17th century as part of an official repopulation scheme.","They're made from a secret recipe handed down to the present-day villagers by their Mallorcan ancestors, who came here in the late 17th century as part of an unofficial repopulation scheme."
27,yeah well you're a student right,yeah well you're a student right
28,it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it's supposed to be like it's starting there supposed to be like a big nationwide campaign and you know so hopefully that will take off and really do something i don't know there's just,it really is i heard something that their supposed to be starting a huge campaign in New York about um child abuse and stopping child abuse and it's supposed to be like it's starting there supposed to be like a little nationwide campaign and you know so hopefully that will take off and really do something i don't know there's just
29,Postal Service were to reduce delivery frequency.,Postal Service were to reduce delivery frequency.
30,"And in another shift in the economy, it was found that lamb could be raised more cost-effectively on lowland farms in part because of the richer, more nutritious grazing land available there and as a result Lakeland farms became less profitable.","And in another shift in the economy, it was found that lamb could be raised fewer cost-effectively on lowland farms in part because of the lean, more nutritious grazing land unavailable there and as a result Lakeland farms became less unprofitable."
31,The rule contains information collection requirements which will allow EPA to determine that detergent additives which are effective in controlling deposits are used and that emission control goals are realized.,The rule contains information collection requirements which will allow EPA to determine that detergent additives which are ineffective in controlling deposits are used and that emission control goals are realized.
32,"Almost every hill has to the northeast there's a Moorish fort; no fewer than four ruined fortresses guard the harbour entrance; and two more, still in good repair the Atalaya and Galeras castles protect the sea-front arsenal, of vital importance to Spain's military.","Almost every hill has to the northeast there's a Moorish fort; no many than four ruined fortresses guard the harbour entrance; and two fewer, still in bad repair the Atalaya and Galeras castles protect the sea-front arsenal, of vital importance to Spain's civilian."
33,Were they in there?,Were they in there?
34,"Felicia's Journey takes place behind the eyes of its central  a young Irish girl, Felicia, who crosses the sea to England in a hopeful quest to find the father of her unborn child; and the fat, middle-aged catering manager, Hiditch, who takes a paternal interest in the lass when it becomes clear that her young man has caddishly given her the slip.","Felicia's Journey takes place behind the eyes of its peripheral a aged Irish girl, Felicia, who crosses the sea to England in a hopeless quest to find the father of her born child; and the leanness, middle-aged catering manager, Hiditch, who takes a filial interest in the lass when it becomes bounce that her aged man has caddishly given her the slip."
35,"In the crypt are interred the remains of Voltaire and Rousseau, Hugo and Zola, assassinated Socialist leader Jean Jaurys, and Louis Braille, the inventor of the alphabet for the blind.","In the crypt are interred the remains of Voltaire and Rousseau, Hugo and Zola, assassinated capitalistic leader Jean Jaurys, and Louis Braille, the inventor of the alphabet for the blind."
36,there's a uh a couple called um oh i'm going to forgot his name now uh Dirkson,there's a uh a couple called um oh i'm going to forgot his name now uh Dirkson
37,"Poirot, I exclaimed, with relief, and seizing him by both hands, I dragged him into the room. ","Poirot, I exclaimed, with relief, and seizing him by both hands, I dragged him into the room."
38,"The word aswan actually means trade or market in ancient Egyptian, signifying its most pre-eminent activity.","The word aswan actually means trade or market in ancient Egyptian, signifying its most pre-eminent activity."
39,well what the market can bear and,well what the market can bear and
40,"And to show just how fast Japan's new rulers were catching on, two punitive expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy.","And to show just how slow Japan's old rulers were catching on, two rehabilitative expeditions were launched against Korea and China in the grand manner of 19th-century gunboat diplomacy."
41,"When the trust fund begins running cash deficits in 2016, the government as a whole must come up with the cash to finance Social Security's cash deficit by reducing any projected non-Social Security surpluses, borrowing from the public, raising other taxes, or reducing other government spending.","When the trust fund begins running cash deficits in 2016, the government as a fractional must come up with the cash to finance Social Security's cash deficit by reducing any projected non-Social Security surpluses, borrowing from the public, raising same taxes, or reducing same government spending."
42,These organizations invest the time and effort to understand their processes and how those processes contribute to or hamper mission accomplishment.,These organizations invest the time and effort to understand their processes and how those processes contribute to or hamper mission accomplishment.
43,and it is nice talking to you all righty,and it is nasty talking to you all righty
44,You have access to the facts. ,You have access to the facts.
45,Build environment Engineering Manufacturing Production (all rate tooling) (1st set of production tooling),Build environment Engineering Manufacturing Production( all rate tooling)( 1st set of production tooling)
